year mon day hour minute sec lat lot dep mag
2022 4 11 19 37 47.52 29.360834 107.918807 6.54 0.77
2022 4 11 19 38 0.07 29.367503 107.918099 6.47 1.16
2022 4 11 19 38 11.27 29.368231 107.92321 8.85 0.66
2022 4 11 19 43 45.74 29.402488 107.979126 1.91 0.47
2022 4 11 19 48 32.1 29.359314 107.932137 3.78 0.4
2022 4 11 20 18 29.87 29.301306 107.906152 3.13 0.1
2022 4 11 20 25 32.79 29.303003 107.909155 2.28 0.07
2022 4 11 20 48 1.83 29.281866 108.032479 2.76 0.73
2022 4 11 21 10 36.76 29.361705 107.916602 4.92 0.7
2022 4 11 21 48 17.23 29.365493 107.928312 7.12 -0.09
2022 4 11 22 5 53.42 29.321584 107.930973 4.05 0.62
2022 4 11 22 17 54.1 29.29302 107.846655 4.8 0.7
2022 4 11 22 20 10.24 29.367491 107.912256 6.17 -0.01
2022 4 11 22 20 17.15 29.372876 107.930786 8.29 0.09
2022 4 11 22 23 15.77 29.367649 107.912948 7.61 0.87
2022 4 11 22 25 15.26 29.357314 107.929631 5.06 -0.05
2022 4 11 22 28 38.11 29.330792 107.955566 1.89 0.22
2022 4 11 22 32 36.5 29.362626 107.917847 5.84 -0.06
2022 4 11 22 34 50.23 29.323944 107.932121 3.47 0.54
2022 4 11 22 46 43.69 29.344749 108.086987 1.79 0.71
2022 4 11 22 59 36.05 29.362313 108.032593 1.29 0.62
2022 4 11 23 6 22.29 29.350887 107.920288 5.87 0.59
2022 4 11 23 15 44.63 29.276497 107.83505 5.56 0.52
2022 4 11 23 25 17.18 29.319037 107.950692 3.0 0.47
2022 4 11 23 55 5.42 29.364775 107.917993 4.61 0.57
2022 4 12 0 31 58.23 29.366125 107.924105 5.29 0.51
2022 4 12 0 54 54.85 29.294928 107.887378 4.22 0.8
2022 4 12 1 3 9.78 29.36059 107.913997 8.17 0.56
2022 4 12 1 4 16.12 29.371438 107.925505 6.2 0.85
2022 4 12 1 7 35.72 29.362 107.921769 6.66 -0.32
2022 4 12 1 19 50.52 29.347902 108.07391 1.32 -0.61
2022 4 12 1 22 11.6 29.364274 107.92002 7.51 -0.55
2022 4 12 1 54 48.38 29.315861 107.916406 3.45 -0.35
2022 4 12 2 28 45.46 29.337008 107.974162 2.3 0.23
2022 4 12 4 21 27.2 29.320034 107.96224 3.06 0.19
2022 4 12 4 36 29.16 29.296726 107.883822 4.14 0.54
2022 4 12 9 20 23.93 29.283136 108.042236 2.9 1.06
2022 4 12 10 19 22.22 29.315354 107.918636 2.34 0.61
2022 4 12 11 10 38.66 29.344462 108.086621 1.6 -0.46
2022 4 12 11 29 22.08 29.316396 107.919694 2.55 0.38
2022 4 12 11 36 10.56 29.363007 108.014746 3.04 0.63
2022 4 12 12 11 8.33 29.359861 108.017318 2.96 0.66
2022 4 12 12 31 35.14 29.316858 107.970939 2.28 0.46
2022 4 12 13 57 43.65 29.317139 107.968359 2.61 0.5
2022 4 12 15 1 47.56 29.290328 108.045451 2.06 0.37
2022 4 12 15 10 16.98 29.337085 107.974154 2.28 0.28
2022 4 12 17 38 53.66 29.305257 107.868742 4.3 0.48
2022 4 12 17 48 59.46 29.321104 107.93134 3.52 0.24
2022 4 12 17 49 59.27 29.26814 108.089176 3.38 0.2
2022 4 12 18 4 8.32 29.363458 108.031193 1.2 0.13
2022 4 12 18 12 3.04 29.32111 107.94738 3.22 0.21
2022 4 12 18 38 36.93 29.285915 107.87854 4.83 0.8
2022 4 12 18 50 53.88 29.336912 108.082821 2.36 0.37
2022 4 12 19 3 58.8 29.288521 108.046533 1.75 0.32
2022 4 12 19 7 56.31 29.303373 107.905884 2.95 -0.09
2022 4 12 20 22 17.3 29.297087 107.851807 5.17 0.78
2022 4 12 20 40 42.72 29.312561 107.917936 2.95 0.45
2022 4 12 20 54 23.64 29.319242 107.917708 1.35 0.14
2022 4 12 22 22 41.09 29.318719 107.951115 2.89 0.3
2022 4 13 0 54 50.39 29.363013 108.031966 1.31 0.14
2022 4 13 1 31 59.08 29.344366 108.086694 1.69 0.86
2022 4 13 1 37 30.56 29.302262 107.863802 4.56 0.02
2022 4 13 5 29 38.96 29.317668 108.201904 4.02 0.23
2022 4 13 7 45 44.56 29.316913 107.968538 2.57 0.63
2022 4 13 8 35 12.64 29.316093 107.970076 2.62 0.21
2022 4 13 9 35 10.74 29.36275 108.03103 1.1 0.27
2022 4 13 11 23 6.78 29.346427 108.075529 1.39 -0.01
2022 4 13 12 18 34.08 29.315812 107.916374 3.46 0.25
2022 4 13 12 37 56.06 29.361436 108.017399 2.17 0.23
2022 4 13 12 58 37.0 29.28619 108.042537 2.01 0.71
2022 4 13 15 23 47.26 29.301213 107.904793 3.19 0.72
2022 4 13 15 56 15.11 29.321025 107.933138 3.39 0.15
2022 4 13 16 20 10.5 29.320129 107.93112 3.61 0.67
2022 4 13 16 40 0.16 29.327024 107.957528 2.3 0.11
2022 4 13 16 41 21.31 29.347072 108.076847 1.81 0.95
2022 4 13 17 26 21.4 29.351941 108.073763 2.25 -0.06
2022 4 13 17 28 5.75 29.337437 107.973779 1.96 0.39
2022 4 13 17 38 31.94 29.295046 107.892839 4.38 0.66
2022 4 13 17 46 48.07 29.244661 108.103499 7.07 0.43
2022 4 13 17 51 30.56 29.262297 108.088208 5.21 0.44
2022 4 13 18 14 43.51 29.360089 107.999797 4.36 0.24
2022 4 13 18 15 33.79 29.285787 108.04082 2.15 0.35
2022 4 13 18 17 54.37 29.247028 108.113973 6.35 -0.04
2022 4 13 18 22 2.0 29.320911 107.950472 2.02 0.25
2022 4 13 18 31 52.67 29.261676 108.105835 4.95 0.35
2022 4 13 18 45 19.09 29.312547 107.925195 1.61 0.24
2022 4 13 18 55 41.33 29.291616 107.844637 4.76 0.23
2022 4 13 19 43 58.78 29.36217 108.032381 1.25 0.35
2022 4 13 21 7 2.17 29.315367 107.919124 2.25 0.86
2022 4 13 21 9 49.93 29.366018 107.901538 8.88 0.99
2022 4 13 21 24 25.67 29.409914 107.954468 2.8 0.97
2022 4 13 21 54 21.27 29.368744 107.9014 7.76 0.9
2022 4 13 21 55 43.11 29.368483 107.90092 7.84 0.39
2022 4 13 22 38 9.05 29.344285 108.086198 0.91 0.6
2022 4 13 23 3 41.68 29.349274 108.075822 0.65 0.42
2022 4 13 23 49 50.44 29.366636 107.92793 6.43 0.95
2022 4 13 23 50 3.44 29.366376 107.920093 6.77 0.57
2022 4 14 0 24 58.67 29.259819 108.096126 6.48 1.05
2022 4 14 0 44 39.67 29.361886 107.920402 6.13 0.49
2022 4 14 0 45 37.08 29.359648 107.920687 7.7 0.76
2022 4 14 1 16 34.9 29.36252 108.031445 1.57 0.7
2022 4 14 1 27 13.98 29.365116 107.919539 7.04 0.61
